lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Lithgow,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Lithgow,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Lithgow,New South Wales,"Muswellbrook, Singleton and Lithgow bushfires: from 8 January 2014",630,0,0,0,0,unknown,2014-01-08,2014
Lithgow,New South Wales,Lithgow bushfire: 12 February 2018 onwards,816,1,1,0,0,A/B,2018-02-12,2018
Lithgow,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Lithgow,New South Wales,AGRN 1136 - Lithgow NSW Bushfire (11 - 17 November 2023),1136,0,1,0,0,A/B,2023-11-11,2023
Lithgow,New South Wales,AGRN 1193 - Bathurst and Lithgow NSW Bushfire (23 December 2024 - 11 January 2025),1193,0,1,0,0,A/B,2024-12-23,2024
Lithgow,New South Wales,AGRN 1239 - Lithgow and Mid-Western Regional NSW Bushfires (from 9 December 2025),1239,1,1,0,0,A/B,2025-12-09,2025
Lithgow,New South Wales,AGRN 1246 - Lithgow NSW Bushfire (from 16 November 2025),1246,0,1,0,0,A/B,2025-11-16,2025
Liverpool,New South Wales,Liverpool and Sutherland Bushfire: 14 April 2018 onwards,808,1,1,0,0,A/B,2018-04-14,2018
Liverpool Plains,New South Wales,Bushfire: 19 to 28 December 2012,567,0,0,0,0,unknown,2012-12-19,2012
Liverpool Plains,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,2023-02-17,2023
Lockhart,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Lockhart,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Lockhart,New South Wales,AGRN 1274 - Lockhart Bushfire (23 - 30 November 2025),1274,0,1,0,0,A/B,2025-11-23,2025
Maitland,New South Wales,Lower Hunter Bushfires: 05 November 2016,739,0,0,0,0,unknown,2016-11-05,2016
Maitland,New South Wales,Cessnock and Maitland Bushfire: from 18 January 2017,750,0,0,0,0,unknown,2017-01-18,2017
Maitland,New South Wales,AGRN 1090 - Lower Hunter NSW Bushfires (20 September to 9 October 2023),1090,0,1,0,0,A/B,2023-09-20,2023
Mid-Coast,New South Wales,Greater Taree and Port-Macquarie Hastings bushfire: 20 October to 9 November 2012,504,0,0,0,0,unknown,2012-10-20,2012
Mid-Coast,New South Wales,Gloucester bushfire: 8 to 29 October 2012,525,0,0,0,0,unknown,2012-10-08,2012
Mid-Coast,New South Wales,Gloucester bushfire: 17 to 21 December 2012,563,0,0,0,0,unknown,2012-12-17,2012
Mid-Coast,New South Wales,Great Lakes: 5 to 10 December 2012,565,0,0,0,0,unknown,2012-12-05,2012
Mid-Coast,New South Wales,Mid North Coast bushfires: from 26 September 2013,615,0,0,0,0,unknown,2013-09-26,2013
Mid-Coast,New South Wales,Mid North Coast bushfires: from 5 November 2013,617,0,0,0,0,unknown,2013-11-05,2013
Mid-Coast,New South Wales,Lower Hunter Bushfires: 05 November 2016,739,0,0,0,0,unknown,2016-11-05,2016
Mid-Coast,New South Wales,NSW State-wide Bushfires: from 11 February 2017,742,0,0,0,0,unknown,2017-02-11,2017
Mid-Coast,New South Wales,Mid Coast and Port Macquarie-Hastings Bushfires: 30 August 2017,772,1,1,0,0,A/B,2017-08-30,2017
Mid-Coast,New South Wales,"Mid Coast, Port Macquarie Hastings, Dungog and Upper Hunter bushfires: 23 September 2017",778,1,1,0,0,A/B,2017-09-23,2017
Mid-Coast,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
